,#,Name,Type,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
2892,"


0376",Metagross Mega Metagross,Steel Psychic,700,80,145,150,105,110,110
2893,"


0377",Regirock,Rock ,580,80,100,200,50,100,50
2894,"


0378",Regice,Ice ,580,80,50,100,100,200,50
2895,"


0379",Registeel,Steel ,580,80,75,150,75,150,50
2896,"


0380",Latias,Dragon Psychic,600,80,80,90,110,130,110
2897,"


0380",Latias Mega Latias,Dragon Psychic,700,80,100,120,140,150,110
2898,"


0381",Latios,Dragon Psychic,600,80,90,80,130,110,110
2899,"


0381",Latios Mega Latios,Dragon Psychic,700,80,130,100,160,120,110
2900,"


0382",Kyogre,Water ,670,100,100,90,150,140,90
2901,"


0382",Kyogre Primal Kyogre,Water ,770,100,150,90,180,160,90
2902,"


0383",Groudon,Ground ,670,100,150,140,100,90,90
2903,"


0383",Groudon Primal Groudon,Ground Fire,770,100,180,160,150,90,90
2904,"


0384",Rayquaza,Dragon Flying,680,105,150,90,150,90,95
2905,"


0384",Rayquaza Mega Rayquaza,Dragon Flying,780,105,180,100,180,100,115
2906,"


0385",Jirachi,Steel Psychic,600,100,100,100,100,100,100
2907,"


0386",Deoxys Normal Forme,Psychic ,600,50,150,50,150,50,150
2908,"


0386",Deoxys Attack Forme,Psychic ,600,50,180,20,180,20,150
2909,"


0386",Deoxys Defense Forme,Psychic ,600,50,70,160,70,160,90
2910,"


0386",Deoxys Speed Forme,Psychic ,600,50,95,90,95,90,180
2911,"


0387",Turtwig,Grass ,318,55,68,64,45,55,31
2912,"


0388",Grotle,Grass ,405,75,89,85,55,65,36
2913,"


0389",Torterra,Grass Ground,525,95,109,105,75,85,56
2914,"


0390",Chimchar,Fire ,309,44,58,44,58,44,61
2915,"


0391",Monferno,Fire Fighting,405,64,78,52,78,52,81
2916,"


0392",Infernape,Fire Fighting,534,76,104,71,104,71,108
2917,"


0393",Piplup,Water ,314,53,51,53,61,56,40
2918,"


0394",Prinplup,Water ,405,64,66,68,81,76,50
2919,"


0395",Empoleon,Water Steel,530,84,86,88,111,101,60
2920,"


0396",Starly,Normal Flying,245,40,55,30,30,30,60
2921,"


0397",Staravia,Normal Flying,340,55,75,50,40,40,80
2922,"


0398",Staraptor,Normal Flying,485,85,120,70,50,60,100
2923,"


0399",Bidoof,Normal ,250,59,45,40,35,40,31
2924,"


0400",Bibarel,Normal Water,410,79,85,60,55,60,71
2925,"


0401",Kricketot,Bug ,194,37,25,41,25,41,25
2926,"


0402",Kricketune,Bug ,384,77,85,51,55,51,65
2927,"


0403",Shinx,Electric ,263,45,65,34,40,34,45
2928,"


0404",Luxio,Electric ,363,60,85,49,60,49,60
2929,"


0405",Luxray,Electric ,523,80,120,79,95,79,70
2930,"


0406",Budew,Grass Poison,280,40,30,35,50,70,55
2931,"


0407",Roserade,Grass Poison,515,60,70,65,125,105,90
2932,"


0408",Cranidos,Rock ,350,67,125,40,30,30,58
2933,"


0409",Rampardos,Rock ,495,97,165,60,65,50,58
2934,"


0410",Shieldon,Rock Steel,350,30,42,118,42,88,30
2935,"


0411",Bastiodon,Rock Steel,495,60,52,168,47,138,30
2936,"


0412",Burmy Plant Cloak,Bug ,224,40,29,45,29,45,36
2937,"


0412",Burmy Sandy Cloak,Bug ,224,40,29,45,29,45,36
2938,"


0412",Burmy Trash Cloak,Bug ,224,40,29,45,29,45,36
2939,"


0413",Wormadam Plant Cloak,Bug Grass,424,60,59,85,79,105,36
2940,"


0413",Wormadam Sandy Cloak,Bug Ground,424,60,79,105,59,85,36
2941,"


0413",Wormadam Trash Cloak,Bug Steel,424,60,69,95,69,95,36
2942,"


0414",Mothim,Bug Flying,424,70,94,50,94,50,66
2943,"


0415",Combee,Bug Flying,244,30,30,42,30,42,70
2944,"


0416",Vespiquen,Bug Flying,474,70,80,102,80,102,40
2945,"


0417",Pachirisu,Electric ,405,60,45,70,45,90,95
2946,"


0418",Buizel,Water ,330,55,65,35,60,30,85
2947,"


0419",Floatzel,Water ,495,85,105,55,85,50,115
2948,"


0420",Cherubi,Grass ,275,45,35,45,62,53,35
2949,"


0421",Cherrim,Grass ,450,70,60,70,87,78,85
2950,"


0422",Shellos,Water ,325,76,48,48,57,62,34
2951,"


0423",Gastrodon,Water Ground,475,111,83,68,92,82,39
2952,"


0424",Ambipom,Normal ,482,75,100,66,60,66,115
2953,"


0425",Drifloon,Ghost Flying,348,90,50,34,60,44,70
2954,"


0426",Drifblim,Ghost Flying,498,150,80,44,90,54,80
2955,"


0427",Buneary,Normal ,350,55,66,44,44,56,85
2956,"


0428",Lopunny,Normal ,480,65,76,84,54,96,105
2957,"


0428",Lopunny Mega Lopunny,Normal Fighting,580,65,136,94,54,96,135
2958,"


0429",Mismagius,Ghost ,495,60,60,60,105,105,105
2959,"


0430",Honchkrow,Dark Flying,505,100,125,52,105,52,71
2960,"


0431",Glameow,Normal ,310,49,55,42,42,37,85
2961,"


0432",Purugly,Normal ,452,71,82,64,64,59,112
2962,"


0433",Chingling,Psychic ,285,45,30,50,65,50,45
2963,"


0434",Stunky,Poison Dark,329,63,63,47,41,41,74
2964,"


0435",Skuntank,Poison Dark,479,103,93,67,71,61,84
2965,"


0436",Bronzor,Steel Psychic,300,57,24,86,24,86,23
2966,"


0437",Bronzong,Steel Psychic,500,67,89,116,79,116,33
2967,"


0438",Bonsly,Rock ,290,50,80,95,10,45,10
2968,"


0439",Mime Jr.,Psychic Fairy,310,20,25,45,70,90,60
2969,"


0440",Happiny,Normal ,220,100,5,5,15,65,30
2970,"


0441",Chatot,Normal Flying,411,76,65,45,92,42,91
2971,"


0442",Spiritomb,Ghost Dark,485,50,92,108,92,108,35
2972,"


0443",Gible,Dragon Ground,300,58,70,45,40,45,42
2973,"


0444",Gabite,Dragon Ground,410,68,90,65,50,55,82
2974,"


0445",Garchomp,Dragon Ground,600,108,130,95,80,85,102
2975,"


0445",Garchomp Mega Garchomp,Dragon Ground,700,108,170,115,120,95,92
2976,"


0446",Munchlax,Normal ,390,135,85,40,40,85,5
2977,"


0447",Riolu,Fighting ,285,40,70,40,35,40,60
2978,"


0448",Lucario,Fighting Steel,525,70,110,70,115,70,90
2979,"


0448",Lucario Mega Lucario,Fighting Steel,625,70,145,88,140,70,112
2980,"


0449",Hippopotas,Ground ,330,68,72,78,38,42,32
2981,"


0450",Hippowdon,Ground ,525,108,112,118,68,72,47
2982,"


0451",Skorupi,Poison Bug,330,40,50,90,30,55,65
2983,"


0452",Drapion,Poison Dark,500,70,90,110,60,75,95
2984,"


0453",Croagunk,Poison Fighting,300,48,61,40,61,40,50
2985,"


0454",Toxicroak,Poison Fighting,490,83,106,65,86,65,85
2986,"


0455",Carnivine,Grass ,454,74,100,72,90,72,46
2987,"


0456",Finneon,Water ,330,49,49,56,49,61,66
2988,"


0457",Lumineon,Water ,460,69,69,76,69,86,91
2989,"


0458",Mantyke,Water Flying,345,45,20,50,60,120,50
2990,"


0459",Snover,Grass Ice,334,60,62,50,62,60,40
2991,"


0460",Abomasnow,Grass Ice,494,90,92,75,92,85,60
2992,"


0460",Abomasnow Mega Abomasnow,Grass Ice,594,90,132,105,132,105,30
2993,"


0461",Weavile,Dark Ice,510,70,120,65,45,85,125
2994,"


0462",Magnezone,Electric Steel,535,70,70,115,130,90,60
2995,"


0463",Lickilicky,Normal ,515,110,85,95,80,95,50
2996,"


0464",Rhyperior,Ground Rock,535,115,140,130,55,55,40
2997,"


0465",Tangrowth,Grass ,535,100,100,125,110,50,50
2998,"


0466",Electivire,Electric ,540,75,123,67,95,85,95
2999,"


0467",Magmortar,Fire ,540,75,95,67,125,95,83
3000,"


0468",Togekiss,Fairy Flying,545,85,50,95,120,115,80
3001,"


0469",Yanmega,Bug Flying,515,86,76,86,116,56,95
3002,"


0470",Leafeon,Grass ,525,65,110,130,60,65,95
3003,"


0471",Glaceon,Ice ,525,65,60,110,130,95,65
3004,"


0472",Gliscor,Ground Flying,510,75,95,125,45,75,95
3005,"


0473",Mamoswine,Ice Ground,530,110,130,80,70,60,80
3006,"


0474",Porygon-Z,Normal ,535,85,80,70,135,75,90
3007,"


0475",Gallade,Psychic Fighting,518,68,125,65,65,115,80
3008,"


0475",Gallade Mega Gallade,Psychic Fighting,618,68,165,95,65,115,110
3009,"


0476",Probopass,Rock Steel,525,60,55,145,75,150,40
3010,"


0477",Dusknoir,Ghost ,525,45,100,135,65,135,45
3011,"


0478",Froslass,Ice Ghost,480,70,80,70,80,70,110
3012,"


0479",Rotom,Electric Ghost,440,50,50,77,95,77,91
3013,"


0479",Rotom Heat Rotom,Electric Fire,520,50,65,107,105,107,86
3014,"


0479",Rotom Wash Rotom,Electric Water,520,50,65,107,105,107,86
3015,"


0479",Rotom Frost Rotom,Electric Ice,520,50,65,107,105,107,86
3016,"


0479",Rotom Fan Rotom,Electric Flying,520,50,65,107,105,107,86
3017,"


0479",Rotom Mow Rotom,Electric Grass,520,50,65,107,105,107,86
3018,"


0480",Uxie,Psychic ,580,75,75,130,75,130,95
3019,"


0481",Mesprit,Psychic ,580,80,105,105,105,105,80
3020,"


0482",Azelf,Psychic ,580,75,125,70,125,70,115
3021,"


0483",Dialga,Steel Dragon,680,100,120,120,150,100,90
3022,"


0483",Dialga Origin Forme,Steel Dragon,680,100,100,120,150,120,90
3023,"


0484",Palkia,Water Dragon,680,90,120,100,150,120,100
3024,"


0484",Palkia Origin Forme,Water Dragon,680,90,100,100,150,120,120
3025,"


0485",Heatran,Fire Steel,600,91,90,106,130,106,77
3026,"


0486",Regigigas,Normal ,670,110,160,110,80,110,100
3027,"


0487",Giratina Altered Forme,Ghost Dragon,680,150,100,120,100,120,90
3028,"


0487",Giratina Origin Forme,Ghost Dragon,680,150,120,100,120,100,90
3029,"


0488",Cresselia,Psychic ,580,120,70,110,75,120,85
3030,"


0489",Phione,Water ,480,80,80,80,80,80,80
3031,"


0490",Manaphy,Water ,600,100,100,100,100,100,100
3032,"


0491",Darkrai,Dark ,600,70,90,90,135,90,125
3033,"


0492",Shaymin Land Forme,Grass ,600,100,100,100,100,100,100
3034,"


0492",Shaymin Sky Forme,Grass Flying,600,100,103,75,120,75,127
3035,"


0493",Arceus,Normal ,720,120,120,120,120,120,120
3036,"


0494",Victini,Psychic Fire,600,100,100,100,100,100,100
3037,"


0495",Snivy,Grass ,308,45,45,55,45,55,63
3038,"


0496",Servine,Grass ,413,60,60,75,60,75,83
3039,"


0497",Serperior,Grass ,528,75,75,95,75,95,113
3040,"


0498",Tepig,Fire ,308,65,63,45,45,45,45
3041,"


0499",Pignite,Fire Fighting,418,90,93,55,70,55,55
3042,"


0500",Emboar,Fire Fighting,528,110,123,65,100,65,65
3043,"


0501",Oshawott,Water ,308,55,55,45,63,45,45
3044,"


0502",Dewott,Water ,413,75,75,60,83,60,60
3045,"


0503",Samurott,Water ,528,95,100,85,108,70,70
3046,"


0503",Samurott Hisuian Samurott,Water Dark,528,90,108,80,100,65,85
3047,"


0504",Patrat,Normal ,255,45,55,39,35,39,42
3048,"


0505",Watchog,Normal ,420,60,85,69,60,69,77
3049,"


0506",Lillipup,Normal ,275,45,60,45,25,45,55
3050,"


0507",Herdier,Normal ,370,65,80,65,35,65,60
3051,"


0508",Stoutland,Normal ,500,85,110,90,45,90,80
3052,"


0509",Purrloin,Dark ,281,41,50,37,50,37,66
3053,"


0510",Liepard,Dark ,446,64,88,50,88,50,106
3054,"


0511",Pansage,Grass ,316,50,53,48,53,48,64
3055,"


0512",Simisage,Grass ,498,75,98,63,98,63,101
3056,"


0513",Pansear,Fire ,316,50,53,48,53,48,64
3057,"


0514",Simisear,Fire ,498,75,98,63,98,63,101
3058,"


0515",Panpour,Water ,316,50,53,48,53,48,64
3059,"


0516",Simipour,Water ,498,75,98,63,98,63,101
3060,"


0517",Munna,Psychic ,292,76,25,45,67,55,24
3061,"


0518",Musharna,Psychic ,487,116,55,85,107,95,29
3062,"


0519",Pidove,Normal Flying,264,50,55,50,36,30,43
3063,"


0520",Tranquill,Normal Flying,358,62,77,62,50,42,65
3064,"


0521",Unfezant,Normal Flying,488,80,115,80,65,55,93
3065,"


0522",Blitzle,Electric ,295,45,60,32,50,32,76
3066,"


0523",Zebstrika,Electric ,497,75,100,63,80,63,116
3067,"


0524",Roggenrola,Rock ,280,55,75,85,25,25,15
3068,"


0525",Boldore,Rock ,390,70,105,105,50,40,20
3069,"


0526",Gigalith,Rock ,515,85,135,130,60,80,25
3070,"


0527",Woobat,Psychic Flying,323,65,45,43,55,43,72
3071,"


0528",Swoobat,Psychic Flying,425,67,57,55,77,55,114
3072,"


0529",Drilbur,Ground ,328,60,85,40,30,45,68
3073,"


0530",Excadrill,Ground Steel,508,110,135,60,50,65,88
3074,"


0531",Audino,Normal ,445,103,60,86,60,86,50
3075,"


0531",Audino Mega Audino,Normal Fairy,545,103,60,126,80,126,50
3076,"


0532",Timburr,Fighting ,305,75,80,55,25,35,35
3077,"


0533",Gurdurr,Fighting ,405,85,105,85,40,50,40
3078,"


0534",Conkeldurr,Fighting ,505,105,140,95,55,65,45
3079,"


0535",Tympole,Water ,294,50,50,40,50,40,64
3080,"


0536",Palpitoad,Water Ground,384,75,65,55,65,55,69
3081,"


0537",Seismitoad,Water Ground,509,105,95,75,85,75,74
3082,"


0538",Throh,Fighting ,465,120,100,85,30,85,45
3083,"


0539",Sawk,Fighting ,465,75,125,75,30,75,85
3084,"


0540",Sewaddle,Bug Grass,310,45,53,70,40,60,42
3085,"


0541",Swadloon,Bug Grass,380,55,63,90,50,80,42
3086,"


0542",Leavanny,Bug Grass,500,75,103,80,70,80,92
3087,"


0543",Venipede,Bug Poison,260,30,45,59,30,39,57
3088,"


0544",Whirlipede,Bug Poison,360,40,55,99,40,79,47
3089,"


0545",Scolipede,Bug Poison,485,60,100,89,55,69,112
3090,"


0546",Cottonee,Grass Fairy,280,40,27,60,37,50,66
3091,"


0547",Whimsicott,Grass Fairy,480,60,67,85,77,75,116
3092,"


0548",Petilil,Grass ,280,45,35,50,70,50,30
3093,"


0549",Lilligant,Grass ,480,70,60,75,110,75,90
3094,"


0549",Lilligant Hisuian Lilligant,Grass Fighting,480,70,105,75,50,75,105
3095,"


0550",Basculin Red-Striped Form,Water ,460,70,92,65,80,55,98
3096,"


0550",Basculin Blue-Striped Form,Water ,460,70,92,65,80,55,98
3097,"


0550",Basculin White-Striped Form,Water ,460,70,92,65,80,55,98
3098,"


0551",Sandile,Ground Dark,292,50,72,35,35,35,65
3099,"


0552",Krokorok,Ground Dark,351,60,82,45,45,45,74
3100,"


0553",Krookodile,Ground Dark,519,95,117,80,65,70,92
3101,"


0554",Darumaka,Fire ,315,70,90,45,15,45,50
3102,"


0554",Darumaka Galarian Darumaka,Ice ,315,70,90,45,15,45,50
3103,"


0555",Darmanitan Standard Mode,Fire ,480,105,140,55,30,55,95
3104,"


0555",Darmanitan Zen Mode,Fire Psychic,540,105,30,105,140,105,55
3105,"


0555",Darmanitan Galarian Standard Mode,Ice ,480,105,140,55,30,55,95
3106,"


0555",Darmanitan Galarian Zen Mode,Ice Fire,540,105,160,55,30,55,135
3107,"


0556",Maractus,Grass ,461,75,86,67,106,67,60
3108,"


0557",Dwebble,Bug Rock,325,50,65,85,35,35,55
3109,"


0558",Crustle,Bug Rock,485,70,105,125,65,75,45
3110,"


0559",Scraggy,Dark Fighting,348,50,75,70,35,70,48
3111,"


0560",Scrafty,Dark Fighting,488,65,90,115,45,115,58
3112,"


0561",Sigilyph,Psychic Flying,490,72,58,80,103,80,97
3113,"


0562",Yamask,Ghost ,303,38,30,85,55,65,30
3114,"


0562",Yamask Galarian Yamask,Ground Ghost,303,38,55,85,30,65,30
3115,"


0563",Cofagrigus,Ghost ,483,58,50,145,95,105,30
3116,"


0564",Tirtouga,Water Rock,355,54,78,103,53,45,22
3117,"


0565",Carracosta,Water Rock,495,74,108,133,83,65,32
3118,"


0566",Archen,Rock Flying,401,55,112,45,74,45,70
3119,"


0567",Archeops,Rock Flying,567,75,140,65,112,65,110
3120,"


0568",Trubbish,Poison ,329,50,50,62,40,62,65
3121,"


0569",Garbodor,Poison ,474,80,95,82,60,82,75
3122,"


0570",Zorua,Dark ,330,40,65,40,80,40,65
3123,"


0570",Zorua Hisuian Zorua,Normal Ghost,330,35,60,40,85,40,70
3124,"


0571",Zoroark,Dark ,510,60,105,60,120,60,105
3125,"


0571",Zoroark Hisuian Zoroark,Normal Ghost,510,55,100,60,125,60,110
3126,"


0572",Minccino,Normal ,300,55,50,40,40,40,75
3127,"


0573",Cinccino,Normal ,470,75,95,60,65,60,115
3128,"


0574",Gothita,Psychic ,290,45,30,50,55,65,45
3129,"


0575",Gothorita,Psychic ,390,60,45,70,75,85,55
3130,"


0576",Gothitelle,Psychic ,490,70,55,95,95,110,65
3131,"


0577",Solosis,Psychic ,290,45,30,40,105,50,20
3132,"


0578",Duosion,Psychic ,370,65,40,50,125,60,30
3133,"


0579",Reuniclus,Psychic ,490,110,65,75,125,85,30
3134,"


0580",Ducklett,Water Flying,305,62,44,50,44,50,55
3135,"


0581",Swanna,Water Flying,473,75,87,63,87,63,98
3136,"


0582",Vanillite,Ice ,305,36,50,50,65,60,44
3137,"


0583",Vanillish,Ice ,395,51,65,65,80,75,59
3138,"


0584",Vanilluxe,Ice ,535,71,95,85,110,95,79
3139,"


0585",Deerling,Normal Grass,335,60,60,50,40,50,75
3140,"


0586",Sawsbuck,Normal Grass,475,80,100,70,60,70,95
3141,"


0587",Emolga,Electric Flying,428,55,75,60,75,60,103
3142,"


0588",Karrablast,Bug ,315,50,75,45,40,45,60
3143,"


0589",Escavalier,Bug Steel,495,70,135,105,60,105,20
3144,"


0590",Foongus,Grass Poison,294,69,55,45,55,55,15
3145,"


0591",Amoonguss,Grass Poison,464,114,85,70,85,80,30
3146,"


0592",Frillish,Water Ghost,335,55,40,50,65,85,40
3147,"


0593",Jellicent,Water Ghost,480,100,60,70,85,105,60
3148,"


0594",Alomomola,Water ,470,165,75,80,40,45,65
3149,"


0595",Joltik,Bug Electric,319,50,47,50,57,50,65
3150,"


0596",Galvantula,Bug Electric,472,70,77,60,97,60,108
3151,"


0597",Ferroseed,Grass Steel,305,44,50,91,24,86,10
3152,"


0598",Ferrothorn,Grass Steel,489,74,94,131,54,116,20
3153,"


0599",Klink,Steel ,300,40,55,70,45,60,30
3154,"


0600",Klang,Steel ,440,60,80,95,70,85,50
3155,"


0601",Klinklang,Steel ,520,60,100,115,70,85,90
3156,"


0602",Tynamo,Electric ,275,35,55,40,45,40,60
3157,"


0603",Eelektrik,Electric ,405,65,85,70,75,70,40
3158,"


0604",Eelektross,Electric ,515,85,115,80,105,80,50
3159,"


0605",Elgyem,Psychic ,335,55,55,55,85,55,30
3160,"


0606",Beheeyem,Psychic ,485,75,75,75,125,95,40
3161,"


0607",Litwick,Ghost Fire,275,50,30,55,65,55,20
3162,"


0608",Lampent,Ghost Fire,370,60,40,60,95,60,55
3163,"


0609",Chandelure,Ghost Fire,520,60,55,90,145,90,80
3164,"


0610",Axew,Dragon ,320,46,87,60,30,40,57
3165,"


0611",Fraxure,Dragon ,410,66,117,70,40,50,67
3166,"


0612",Haxorus,Dragon ,540,76,147,90,60,70,97
3167,"


0613",Cubchoo,Ice ,305,55,70,40,60,40,40
3168,"


0614",Beartic,Ice ,505,95,130,80,70,80,50
3169,"


0615",Cryogonal,Ice ,515,80,50,50,95,135,105
3170,"


0616",Shelmet,Bug ,305,50,40,85,40,65,25
3171,"


0617",Accelgor,Bug ,495,80,70,40,100,60,145
3172,"


0618",Stunfisk,Ground Electric,471,109,66,84,81,99,32
3173,"


0618",Stunfisk Galarian Stunfisk,Ground Steel,471,109,81,99,66,84,32
3174,"


0619",Mienfoo,Fighting ,350,45,85,50,55,50,65
3175,"


0620",Mienshao,Fighting ,510,65,125,60,95,60,105
3176,"


0621",Druddigon,Dragon ,485,77,120,90,60,90,48
3177,"


0622",Golett,Ground Ghost,303,59,74,50,35,50,35
3178,"


0623",Golurk,Ground Ghost,483,89,124,80,55,80,55
3179,"


0624",Pawniard,Dark Steel,340,45,85,70,40,40,60
3180,"


0625",Bisharp,Dark Steel,490,65,125,100,60,70,70
3181,"


0626",Bouffalant,Normal ,490,95,110,95,40,95,55
3182,"


0627",Rufflet,Normal Flying,350,70,83,50,37,50,60
3183,"


0628",Braviary,Normal Flying,510,100,123,75,57,75,80
3184,"


0628",Braviary Hisuian Braviary,Psychic Flying,510,110,83,70,112,70,65
3185,"


0629",Vullaby,Dark Flying,370,70,55,75,45,65,60
3186,"


0630",Mandibuzz,Dark Flying,510,110,65,105,55,95,80
3187,"


0631",Heatmor,Fire ,484,85,97,66,105,66,65
3188,"


0632",Durant,Bug Steel,484,58,109,112,48,48,109
3189,"


0633",Deino,Dark Dragon,300,52,65,50,45,50,38
3190,"


0634",Zweilous,Dark Dragon,420,72,85,70,65,70,58
3191,"


0635",Hydreigon,Dark Dragon,600,92,105,90,125,90,98
3192,"


0636",Larvesta,Bug Fire,360,55,85,55,50,55,60
3193,"


0637",Volcarona,Bug Fire,550,85,60,65,135,105,100
3194,"


0638",Cobalion,Steel Fighting,580,91,90,129,90,72,108
3195,"


0639",Terrakion,Rock Fighting,580,91,129,90,72,90,108
3196,"


0640",Virizion,Grass Fighting,580,91,90,72,90,129,108
3197,"


0641",Tornadus Incarnate Forme,Flying ,580,79,115,70,125,80,111
3198,"


0641",Tornadus Therian Forme,Flying ,580,79,100,80,110,90,121
3199,"


0642",Thundurus Incarnate Forme,Electric Flying,580,79,115,70,125,80,111
3200,"


0642",Thundurus Therian Forme,Electric Flying,580,79,105,70,145,80,101
3201,"


0643",Reshiram,Dragon Fire,680,100,120,100,150,120,90
3202,"


0644",Zekrom,Dragon Electric,680,100,150,120,120,100,90
3203,"


0645",Landorus Incarnate Forme,Ground Flying,600,89,125,90,115,80,101
3204,"


0645",Landorus Therian Forme,Ground Flying,600,89,145,90,105,80,91
3205,"


0646",Kyurem,Dragon Ice,660,125,130,90,130,90,95
3206,"


0646",Kyurem White Kyurem,Dragon Ice,700,125,120,90,170,100,95
3207,"


0646",Kyurem Black Kyurem,Dragon Ice,700,125,170,100,120,90,95
3208,"


0647",Keldeo Ordinary Form,Water Fighting,580,91,72,90,129,90,108
3209,"


0647",Keldeo Resolute Form,Water Fighting,580,91,72,90,129,90,108
3210,"


0648",Meloetta Aria Forme,Normal Psychic,600,100,77,77,128,128,90
3211,"


0648",Meloetta Pirouette Forme,Normal Fighting,600,100,128,90,77,77,128
3212,"


0649",Genesect,Bug Steel,600,71,120,95,120,95,99
3213,"


0650",Chespin,Grass ,313,56,61,65,48,45,38
3214,"


0651",Quilladin,Grass ,405,61,78,95,56,58,57
3215,"


0652",Chesnaught,Grass Fighting,530,88,107,122,74,75,64
3216,"


0653",Fennekin,Fire ,307,40,45,40,62,60,60
3217,"


0654",Braixen,Fire ,409,59,59,58,90,70,73
3218,"


0655",Delphox,Fire Psychic,534,75,69,72,114,100,104
3219,"


0656",Froakie,Water ,314,41,56,40,62,44,71
3220,"


0657",Frogadier,Water ,405,54,63,52,83,56,97
3221,"


0658",Greninja,Water Dark,530,72,95,67,103,71,122
3222,"


0658",Greninja Ash-Greninja,Water Dark,640,72,145,67,153,71,132
3223,"


0659",Bunnelby,Normal ,237,38,36,38,32,36,57
3224,"


0660",Diggersby,Normal Ground,423,85,56,77,50,77,78
3225,"


0661",Fletchling,Normal Flying,278,45,50,43,40,38,62
3226,"


0662",Fletchinder,Fire Flying,382,62,73,55,56,52,84
3227,"


0663",Talonflame,Fire Flying,499,78,81,71,74,69,126
3228,"


0664",Scatterbug,Bug ,200,38,35,40,27,25,35
3229,"


0665",Spewpa,Bug ,213,45,22,60,27,30,29
3230,"


0666",Vivillon,Bug Flying,411,80,52,50,90,50,89
3231,"


0667",Litleo,Fire Normal,369,62,50,58,73,54,72
3232,"


0668",Pyroar,Fire Normal,507,86,68,72,109,66,106
3233,"


0669",Flabébé,Fairy ,303,44,38,39,61,79,42
3234,"


0670",Floette,Fairy ,371,54,45,47,75,98,52
3235,"


0671",Florges,Fairy ,552,78,65,68,112,154,75
3236,"


0672",Skiddo,Grass ,350,66,65,48,62,57,52
3237,"


0673",Gogoat,Grass ,531,123,100,62,97,81,68
3238,"


0674",Pancham,Fighting ,348,67,82,62,46,48,43
3239,"


0675",Pangoro,Fighting Dark,495,95,124,78,69,71,58
3240,"


0676",Furfrou,Normal ,472,75,80,60,65,90,102
3241,"


0677",Espurr,Psychic ,355,62,48,54,63,60,68
3242,"


0678",Meowstic Male,Psychic ,466,74,48,76,83,81,104
3243,"


0678",Meowstic Female,Psychic ,466,74,48,76,83,81,104
3244,"


0679",Honedge,Steel Ghost,325,45,80,100,35,37,28
3245,"


0680",Doublade,Steel Ghost,448,59,110,150,45,49,35
3246,"


0681",Aegislash Shield Forme,Steel Ghost,500,60,50,140,50,140,60
3247,"


0681",Aegislash Blade Forme,Steel Ghost,500,60,140,50,140,50,60
3248,"


0682",Spritzee,Fairy ,341,78,52,60,63,65,23
3249,"


0683",Aromatisse,Fairy ,462,101,72,72,99,89,29
3250,"


0684",Swirlix,Fairy ,341,62,48,66,59,57,49
3251,"


0685",Slurpuff,Fairy ,480,82,80,86,85,75,72
3252,"


0686",Inkay,Dark Psychic,288,53,54,53,37,46,45
3253,"


0687",Malamar,Dark Psychic,482,86,92,88,68,75,73
3254,"


0688",Binacle,Rock Water,306,42,52,67,39,56,50
3255,"


0689",Barbaracle,Rock Water,500,72,105,115,54,86,68
3256,"


0690",Skrelp,Poison Water,320,50,60,60,60,60,30
3257,"


0691",Dragalge,Poison Dragon,494,65,75,90,97,123,44
3258,"


0692",Clauncher,Water ,330,50,53,62,58,63,44
3259,"


0693",Clawitzer,Water ,500,71,73,88,120,89,59
3260,"


0694",Helioptile,Electric Normal,289,44,38,33,61,43,70
3261,"


0695",Heliolisk,Electric Normal,481,62,55,52,109,94,109
3262,"


0696",Tyrunt,Rock Dragon,362,58,89,77,45,45,48
3263,"


0697",Tyrantrum,Rock Dragon,521,82,121,119,69,59,71
3264,"


0698",Amaura,Rock Ice,362,77,59,50,67,63,46
3265,"


0699",Aurorus,Rock Ice,521,123,77,72,99,92,58
3266,"


0700",Sylveon,Fairy ,525,95,65,65,110,130,60
3267,"


0701",Hawlucha,Fighting Flying,500,78,92,75,74,63,118
3268,"


0702",Dedenne,Electric Fairy,431,67,58,57,81,67,101
3269,"


0703",Carbink,Rock Fairy,500,50,50,150,50,150,50
3270,"


0704",Goomy,Dragon ,300,45,50,35,55,75,40
3271,"


0705",Sliggoo,Dragon ,452,68,75,53,83,113,60
3272,"


0705",Sliggoo Hisuian Sliggoo,Steel Dragon,452,58,75,83,83,113,40
3273,"


0706",Goodra,Dragon ,600,90,100,70,110,150,80
3274,"


0706",Goodra Hisuian Goodra,Steel Dragon,600,80,100,100,110,150,60
3275,"


0707",Klefki,Steel Fairy,470,57,80,91,80,87,75
3276,"


0708",Phantump,Ghost Grass,309,43,70,48,50,60,38
3277,"


0709",Trevenant,Ghost Grass,474,85,110,76,65,82,56
3278,"


0710",Pumpkaboo Average Size,Ghost Grass,335,49,66,70,44,55,51
3279,"


0710",Pumpkaboo Small Size,Ghost Grass,335,44,66,70,44,55,56
3280,"


0710",Pumpkaboo Large Size,Ghost Grass,335,54,66,70,44,55,46
3281,"


0710",Pumpkaboo Super Size,Ghost Grass,335,59,66,70,44,55,41
3282,"


0711",Gourgeist Average Size,Ghost Grass,494,65,90,122,58,75,84
3283,"


0711",Gourgeist Small Size,Ghost Grass,494,55,85,122,58,75,99
3284,"


0711",Gourgeist Large Size,Ghost Grass,494,75,95,122,58,75,69
